"","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","AUC"
"19",1500,5,0.01,2e-04,0.3,0.5,0.7,0.720090313798995
"31",1500,5,0.01,2e-04,0.3,1.5,0.7,0.719546702569107
"51",1500,5,0.01,2e-04,0.5,1,0.7,0.719426541099975
"15",1500,4,0.01,2e-04,0.5,1.5,0.7,0.719311419551565
"12",1500,4,0.01,2e-04,0.3,1.5,0.7,0.719279207590352
"10",1500,4,0.01,2e-04,0.3,0.5,0.7,0.719274498081422
"61",1500,5,0.01,2e-04,0.5,1.5,0.7,0.719247183028753
"91",1500,5,0.01,2e-04,0.7,1.5,0.7,0.719228245028889
"18",1500,4,0.01,2e-04,0.7,1.5,0.7,0.719194798368624
"14",1500,4,0.01,2e-04,0.5,1,0.7,0.719167385781958
"81",1500,5,0.01,2e-04,0.7,1,0.7,0.719146857880791
"11",1500,4,0.01,2e-04,0.3,1,0.7,0.719077515901266
"21",1500,5,0.01,2e-04,0.3,1,0.7,0.719054569132753
"41",1500,5,0.01,2e-04,0.5,0.5,0.7,0.719017548628421
"16",1500,4,0.01,2e-04,0.7,0.5,0.7,0.719001444869922
"71",1500,5,0.01,2e-04,0.7,0.5,0.7,0.71887978427019
"13",1500,4,0.01,2e-04,0.5,0.5,0.7,0.718835568152822
"17",1500,4,0.01,2e-04,0.7,1,0.7,0.718707461687697
"9",1500,3,0.01,2e-04,0.7,1.5,0.7,0.718181171614258
"8",1500,3,0.01,2e-04,0.7,1,0.7,0.718101497089758
"4",1500,3,0.01,2e-04,0.5,0.5,0.7,0.717981443284645
"7",1500,3,0.01,2e-04,0.7,0.5,0.7,0.717953784374822
"5",1500,3,0.01,2e-04,0.5,1,0.7,0.717900716971735
"6",1500,3,0.01,2e-04,0.5,1.5,0.7,0.717662948985591
"2",1500,3,0.01,2e-04,0.3,1,0.7,0.717662220945138
"1",1500,3,0.01,2e-04,0.3,0.5,0.7,0.717489705245727
"3",1500,3,0.01,2e-04,0.3,1.5,0.7,0.717371090256885
"62",1500,6,0.01,2e-04,0.5,1.5,0.7,0.717365491805746
"32",1500,6,0.01,2e-04,0.3,1.5,0.7,0.717128795450324
"110",1500,6,0.01,2e-04,0.3,0.5,0.7,0.716925873576021
"22",1500,6,0.01,2e-04,0.3,1,0.7,0.71675865349793
"42",1500,6,0.01,2e-04,0.5,0.5,0.7,0.716665134133682
"52",1500,6,0.01,2e-04,0.5,1,0.7,0.715666118437319
"92",1500,6,0.01,2e-04,0.7,1.5,0.7,0.715584709480911
"72",1500,6,0.01,2e-04,0.7,0.5,0.7,0.715444843443892
"82",1500,6,0.01,2e-04,0.7,1,0.7,0.715307567848054
